Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1977-04-30,39.620844974,44.378512679,31.574293612,43.432766721,22.985767364,23.564723352,27.610656852,29.775893317,34.76121494,31.11720922,27.876936017,37.200954079,32.425394305,37.263420848,41.648199557,41.104931253,36.410396256,41.454148742,28.899777989,31.460928629,16.871391296,27.073072284,29.942924965,42.506827384,37.443709269,34.232546353,36.611554872,34.19059235,26.093779594,24.542073666,34.57718493,24.121296079,31.227987876,50.220550315,35.492546713,44.217524183,28.150086494,33.092879432,25.208964756,34.19075686,38.694560014,36.701331824,40.672756884,30.771664953,30.269999256,31.329376275,22.623480279,50.341950398,34.279950187,42.097482888
1977-05-31,39.948349244,44.593005818,31.840094582,43.681051186,23.577233045,23.906453985,28.098490578,29.756741199,35.996419858,31.315292966,27.996452038,37.527722457,32.746897106,37.488401803,42.169119739,41.450350987,37.178412098,42.020206107,29.295042442,31.67555259,17.038143856,27.279152118,30.402854563,42.929710848,37.838212947,34.850316006,36.919241298,34.751438991,26.308282142,24.704384897,35.031532331,24.433059971,31.638075883,50.194015183,35.923524754,44.535108218,28.694454524,33.325403539,25.534960954,34.619933753,39.226021129,37.151354036,40.967357883,31.245096329,30.524482243,31.622883666,23.167970574,50.91475553,34.754769875,42.48672635
1977-06-30,40.371198872,44.804792298,32.167934088,43.925216637,24.175542323,24.302256081,28.657816861,29.732725341,35.550889982,31.520795581,28.198665074,37.896506202,32.747791505,37.890698426,42.635388945,42.028677056,37.825413745,42.584186462,29.81147934,32.013706073,17.260776775,27.580372053,30.933141756,43.445347135,37.050389756,35.500320384,37.212894583,35.295506201,26.556414101,24.851451649,35.526952106,24.621907545,32.020102769,50.156307848,36.274335247,45.007834795,29.387793007,33.735013004,25.740051366,34.907719468,39.880438827,37.583186769,39.95817062,31.702391387,30.834161519,31.962837233,23.663912929,51.435371732,35.337491175,42.974450791
1977-07-31,40.881002654,45.031338642,32.619584886,44.243262976,24.680625748,24.787377378,29.259010274,29.797964841,35.124255451,31.722980145,28.448186761,38.224154812,33.037635115,38.473377501,43.054573198,42.76846392,38.254424945,43.094297616,30.389168502,32.362624673,17.452167594,27.907437569,31.472993263,43.931619353,36.741742261,36.165610467,37.527382443,35.851697461,26.849047106,24.992489975,36.025962608,24.69240907,32.386734941,50.171778645,36.831431754,45.732702793,30.060101291,34.127400023,25.810593996,34.980155736,40.568008284,37.998301893,39.674462602,32.122198018,31.170071732,32.270385304,24.246691003,51.878812224,35.986122111,43.604398902
1977-08-31,41.408854927,45.265446109,33.109785282,44.597877911,25.197193389,25.302733634,29.832862195,29.9804648,35.072880014,31.848719508,28.734923693,38.530258971,33.535496653,39.062523188,43.483320212,43.41598484,38.558919822,43.519674987,30.950168508,32.610058815,17.568654269,28.18100089,31.941100751,44.343883294,37.018007991,36.847504583,37.920877442,36.406438194,27.183055978,25.092447007,36.486923121,24.750971048,32.774956348,50.301385176,37.542959585,46.606850606,30.61073132,34.383337691,25.864270081,34.951883315,41.164534269,38.279895932,39.903967674,32.443392686,31.503730615,32.515903547,24.869962224,52.265970605,36.521505793,44.315759387
1977-09-30,41.891100258,45.492643865,33.508492799,44.923194878,25.60452482,25.761712258,30.199851196,30.247366002,35.321141207,31.925619803,29.045424711,38.946298976,34.014324689,39.534254408,43.990958454,43.868906747,38.83673628,43.883753534,31.453952984,32.760238554,17.632892233,28.439460944,32.264292906,44.718816342,37.455781801,37.560684719,38.47006478,36.929179581,27.490626458,25.269614263,36.86979211,24.838772207,33.095130958,50.59420345,37.992990755,47.514484962,31.023069875,34.405351613,26.002369423,34.993666478,41.571135048,38.44267075,40.22432287,32.628771648,31.816046498,32.766406274,25.374913219,52.619782652,36.892722699,44.985991458
1977-10-31,42.325078176,45.727899745,33.80408657,45.202894727,25.891684547,26.176100968,30.324881791,30.571524567,35.745700319,32.094009865,29.391916677,39.545756406,34.445302499,39.9530922,44.53153992,44.188263208,39.091591508,44.257715164,31.869614917,32.925448087,17.684186138,28.758410053,32.488882318,45.161027434,37.796796888,38.293183612,39.12373215,37.430138161,27.738798043,25.693596737,37.197513522,24.983786666,33.326352067,51.043156094,38.126041981,48.351638409,31.321035028,34.518346914,26.182013378,35.173167648,41.870643748,38.677687579,40.760132852,32.7642476,32.074809648,33.013152271,25.741692219,52.947477159,37.164460545,45.57225201
1977-11-30,42.634293083,46.000787386,34.115646026,45.426538148,26.180406627,26.561806763,30.364940687,30.911418269,36.214559543,32.307106016,29.806665658,40.268802087,34.740953402,40.451328075,45.022522973,44.477535979,39.263790703,44.793001146,32.174718544,33.164751573,17.718412954,29.115514724,32.728934359,45.73318796,38.067123991,38.997700512,39.723509235,37.946918877,27.961914216,26.370016478,37.519152223,25.171315775,33.510822018,51.62881672,38.207787102,49.063557685,31.585505984,35.038330579,26.336394847,35.494492573,42.220375329,39.072832031,41.54482545,33.018601857,32.268026504,33.218619005,26.021901593,53.293702433,37.417321567,46.139730685
1977-12-31,42.741422084,46.32822394,34.444389792,45.635024825,26.443771333,26.901364704,30.465589591,31.220236922,36.694769429,32.502540661,30.298506192,41.007572326,34.821638249,41.025290399,45.412613099,44.747789612,39.318560675,45.557178595,32.384837089,33.477930692,17.682999789,29.427037422,32.97179496,46.39435284,38.402241014,39.610766202,40.165850533,38.462014199,28.162986685,27.083500672,37.802007911,25.288050835,33.735623805,52.311609963,38.360261422,49.637190119,31.899152943,35.595313551,26.474114826,35.906848196,42.614710662,39.530812555,42.204525154,33.421390591,32.445310366,33.350744047,26.336455494,53.676649218,37.726380386,46.744382281
1978-01-31,42.732934288,46.702590499,34.792601217,45.915138119,26.746395665,27.184212461,30.618997685,31.441774802,37.008278863,32.737330869,30.79040336,41.729328968,34.966037504,41.599669631,45.70918423,44.997453807,39.322749034,46.437951808,32.558735411,33.788052412,17.638665553,29.696270789,33.163330698,47.032110198,38.899544709,40.08877183,40.482399047,38.963328691,28.338851631,27.422902806,38.024903239,25.258909516,34.058940478,53.032021272,38.608736413,50.189085939,32.298283232,35.949412394,26.607968598,36.318120813,43.007136875,39.922455124,42.648077315,33.923979703,32.664332679,33.451627239,26.69663725,54.118273629,38.107891239,47.420576659
